汉字,拼音,英文释义,等级,词频,category
八,bā,eight,1,5,hsk1
吃,chī,to eat,1,5,hsk1
都,dōu,all/both,1,5,hsk1
多,duō,many/much,1,5,hsk1
喝,hē,to drink,1,5,hsk1
家,jiā,family/home,1,5,hsk1
开,kāi,to open,1,5,hsk1
猫,māo,cat,1,5,hsk1
七,qī,seven,1,5,hsk1
三,sān,three,1,5,hsk1
书,shū,book,1,5,hsk1
说,shuō,to say/speak,1,5,hsk1
他,tā,he/him,1,5,hsk1
她,tā,she/her,1,5,hsk1
听,tīng,to listen,1,5,hsk1
些,xiē,some,1,5,hsk1
一,yī,one,1,5,hsk1
茶,chá,tea,1,5,hsk1
读,dú,to read,1,5,hsk1
和,hé,and/with,1,5,hsk1
回,huí,to return,1,5,hsk1
来,lái,to come,1,5,hsk1
能,néng,can/able to,1,5,hsk1
年,nián,year,1,5,hsk1
钱,qián,money,1,5,hsk1
人,rén,person/people,1,5,hsk1
谁,shuí,who,1,5,hsk1
十,shí,ten,1,5,hsk1
喂,wèi,hello/hey,1,5,hsk1
本,běn,book/volume,1,5,hsk1
点,diǎn,o'clock/point,1,5,hsk1
狗,gǒu,dog,1,5,hsk1
好,hǎo,good/well,1,5,hsk1
很,hěn,very,1,5,hsk1
几,jǐ,how many/several,1,5,hsk1
九,jiǔ,nine,1,5,hsk1
冷,lěng,cold,1,5,hsk1
里,lǐ,inside/in,1,5,hsk1
买,mǎi,to buy,1,5,hsk1
哪,nǎ,which/where,1,5,hsk1
哪儿,nǎér,哪儿,1,5,hsk1
你,nǐ,you,1,5,hsk1
请,qǐng,please/invite,1,5,hsk1
少,shǎo,few/less,1,5,hsk1
水,shuǐ,water,1,5,hsk1
我,wǒ,I/me,1,5,hsk1
五,wǔ,five,1,5,hsk1
想,xiǎng,to think/want,1,5,hsk1
小,xiǎo,small/little,1,5,hsk1
写,xiě,to write,1,5,hsk1
有,yǒu,to have,1,5,hsk1
爱,ài,to love,1,5,hsk1
不,bù,no/not,1,5,hsk1
菜,cài,dish/vegetable,1,5,hsk1
大,dà,big/large,1,5,hsk1
二,èr,two,1,5,hsk1
号,hào,number/date,1,5,hsk1
会,huì,can/will/meet,1,5,hsk1
叫,jiào,to call/be called,1,5,hsk1
看,kàn,to look/see/watch,1,5,hsk1
块,kuài,piece/yuan,1,5,hsk1
六,liù,six,1,5,hsk1
那,nà,that,1,5,hsk1
去,qù,to go,1,5,hsk1
热,rè,hot,1,5,hsk1
上,shàng,up/above/on,1,5,hsk1
是,shì,to be/yes,1,5,hsk1
四,sì,four,1,5,hsk1
岁,suì,years old,1,5,hsk1
太,tài,too/very,1,5,hsk1
下,xià,down/below,1,5,hsk1
月,yuè,month/moon,1,5,hsk1
在,zài,at/in/on,1,5,hsk1
这,zhè,this,1,5,hsk1
住,zhù,to live,1,5,hsk1
字,zì,character/word,1,5,hsk1
坐,zuò,to sit,1,5,hsk1
做,zuò,to do/make,1,5,hsk1
的,de5,particle,1,5,hsk1
个,gè,measure word,1,5,hsk1
了,le5,particle,1,5,hsk1
吗,ma5,question particle,1,5,hsk1
