汉字,拼音,英文释义,场景标签,例句,category
公司,gōngsī,company,公司管理,我们公司有500名员工。Our company has 500 employees.,business
市场,shìchǎng,market,市场营销,市场需求很大。Market demand is high.,business
企业,qǐyè,enterprise,公司管理,这是一家大型企业。This is a large enterprise.,business
投资,tóuzī,investment,金融投资,我们需要更多投资。We need more investment.,business
银行,yínháng,bank,金融服务,我去银行办业务。I'm going to the bank for business.,business
美元,měiyuán,dollar,货币交易,汇率是1美元兑7元人民币。The exchange rate is 1 dollar to 7 RMB.,business
资金,zījīn,capital/fund,财务管理,我们需要筹集资金。We need to raise capital.,business
业务,yèwù,business,业务洽谈,我们的业务范围很广。Our business scope is wide.,business
增长,zēngzhǎng,growth,业绩报告,销售额增长了20%。Sales increased by 20%.,business
产品,chǎnpǐn,product,产品开发,这是我们的新产品。This is our new product.,business
价格,jiàgé,price,价格谈判,价格可以商量。The price is negotiable.,business
管理,guǎnlǐ,management,公司管理,他负责项目管理。He is responsible for project management.,business
经济,jīngjì,economy,经济分析,经济形势很好。The economic situation is good.,business
风险,fēngxiǎn,risk,风险评估,我们需要评估风险。We need to assess the risk.,business
贷款,dàikuǎn,loan,金融服务,公司申请了贷款。The company applied for a loan.,business
大盘,dàpán,large cap,股票市场,大盘今天上涨了。The large cap rose today.,business
行业,hángyè,industry,行业分析,这是一个新兴行业。This is an emerging industry.,business
基金,jījīn,fund,金融投资,我投资了一个基金。I invested in a fund.,business
金融,jīnróng,finance,金融服务,金融市场很活跃。The financial market is active.,business
生产,shēngchǎn,production,生产管理,生产效率提高了。Production efficiency has improved.,business
经营,jīngyíng,to operate/manage,公司经营,公司经营状况良好。The company is operating well.,business
财经,cáijīng,finance and economics,财经新闻,这是财经新闻。This is financial news.,business
客户,kèhù,client/customer,客户服务,客户很满意。The customer is satisfied.,business
上市,shàngshì,to be listed,股票市场,公司计划上市。The company plans to go public.,business
上市公司,shàngshìgōngsī,listed company,股票市场,这是一家上市公司。This is a listed company.,business
交易,jiāoyì,transaction/trade,商业交易,交易已经完成。The transaction is completed.,business
监管,jiānguǎn,supervision,法律合规,政府加强了监管。The government has strengthened supervision.,business
上涨,shàngzhǎng,rise/increase,股票市场,股价上涨了10%。The stock price rose 10%.,business
销售,xiāoshòu,sales,销售管理,销售业绩很好。Sales performance is good.,business
走势,zǒushì,trend,市场分析,市场走势向好。The market trend is positive.,business
股票,gǔpiào,stock,股票市场,我买了一些股票。I bought some stocks.,business
个股,gègǔ,individual stock,股票市场,这只个股表现不错。This individual stock performs well.,business
发行,fāxíng,issue/publish,金融服务,公司发行了新股。The company issued new shares.,business
资产,zīchǎn,asset,资产管理,公司资产增加了。Company assets have increased.,business
品牌,pǐnpái,brand,品牌营销,我们要打造品牌。We need to build the brand.,business
保险,bǎoxiǎn,insurance,金融服务,我买了商业保险。I bought business insurance.,business
行情,hángqíng,market situation,市场分析,市场行情不错。The market situation is good.,business
下跌,xiàdiē,fall/decline,股票市场,股价下跌了5%。The stock price fell 5%.,business
